Value,Count,MUKEY,musym,muname,aws0150wta,flodfreqdcd,AREASYMBOL,areaname,farmlndcl,tfact,drainagecl,runoff,cokey,hzdept_r,hzdepb_r,hzname,desgndisc,awc_r,chkey,hydriccriterion
167874,499994.000000000000000,167874,BfB,"Bennington-Urban land complex, 0 to 6 percent slopes",18.8199997,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Very poorly drained,Negligible,23790210,61,145,Btgb,,0.1200000,70641433,2
167875,14591.000000000000000,167875,Ble1A1,"Blount silt loam, end moraine, 0 to 2 percent slopes",17.7199993,None,OH049,"Franklin County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,23790469,0,30,Ap,,0.2200000,70641974,2
167876,66384.000000000000000,167876,Ble1B1,"Blount silt loam, end moraine, 2 to 4 percent slopes",16.5200005,None,OH049,"Franklin County, Ohio",Prime farmland if drained,3,Moderately well drained,High,23790372,23,74,Bt,,0.1500000,70641766,
167880,234970.000000000000000,167880,CbB,"Cardington-Urban land complex, 2 to 6 percent slopes",19.3400002,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Moderately well drained,Medium,23790321,0,15,H1,,0.2000000,70641720,
167881,48204.000000000000000,167881,CbC,"Cardington-Urban land complex, 6 to 12 percent slopes",19.3400002,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Moderately well drained,High,23790413,0,15,H1,,0.2000000,70641922,
167882,8118.000000000000000,167882,Cc,Carlisle muck,60.0000000,Frequent,OH049,"Franklin County, Ohio",Not prime farmland,2,Very poorly drained,Very low,23790325,0,147,O,,0.4000000,70641723,4
167883,14675.000000000000000,167883,CeA,"Celina silt loam, 0 to 2 percent slopes",18.1100006,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Very poorly drained,Negligible,23790214,104,163,Bt,,0.1400000,70641444,2
167884,490965.000000000000000,167884,CeB,"Celina silt loam, 2 to 6 percent slopes",20.2399998,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Poorly drained,Negligible,23790289,0,18,Ap,,0.1600000,70641610,3
167885,68446.000000000000000,167885,CeB2,"Celina silt loam, 2 to 6 percent slopes, eroded",14.6800003,None,OH049,"Franklin County, Ohio",All areas are prime farmland,3,Somewhat poorly drained,Medium,23790488,23,71,2Bt,2,0.1300000,70642047,
167886,27061.000000000000000,167886,CeC2,"Celina silt loam, 6 to 12 percent slopes, eroded",18.5799999,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Moderately well drained,High,23790161,18,64,H2,,0.1800000,70641362,
167887,216586.000000000000000,167887,CfB,"Celina-Urban land complex, 2 to 6 percent slopes",19.2800007,,OH049,"Franklin County, Ohio",Not prime farmland,5,Moderately well drained,Medium,23790165,18,71,H2,,0.1800000,70641364,
167888,66530.000000000000000,167888,Cn,"Condit silt loam, 0 to 1 percent slopes",20.0900002,,OH049,"Franklin County, Ohio",Prime farmland if drained,5,Poorly drained,Negligible,23790282,0,25,Ap,,0.2100000,70641586,2
167889,18456.000000000000000,167889,CpA,"Crane silt loam, 0 to 2 percent slopes",24.2700005,None,OH049,"Franklin County, Ohio",Prime farmland if drained,,,,23790328,,,,,,,
167890,1310860.000000000000000,167890,CrA,"Crosby silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",15.7799997,None,OH049,"Franklin County, Ohio",Prime farmland if drained,3,Somewhat poorly drained,Medium,23790484,36,71,2Bt2,2,0.1300000,70642028,
167891,797818.000000000000000,167891,CrB,"Crosby silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes",15.7399998,None,OH049,"Franklin County, Ohio",Prime farmland if drained,3,Well drained,High,23790383,20,66,2Bt,2,0.0900000,70641802,
167892,698824.000000000000000,167892,CsA,"Crosby-Urban land complex, 0 to 2 percent slopes",15.8800001,None,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790313,,,,,,,
167893,535880.000000000000000,167893,CsB,"Crosby-Urban land complex, 2 to 6 percent slopes",21.4300003,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Somewhat poorly drained,High,23790234,23,91,H2,,0.1800000,70641521,
167894,131612.000000000000000,167894,Ee,"Eel silt loam, 0 to 2 percent slopes, occasionally flooded",29.5900002,Occasional,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Very poorly drained,Negligible,23790221,0,30,Ap,,0.2400000,70641474,2
167895,13135.000000000000000,167895,ElA,"Eldean silt loam, 0 to 2 percent slopes",15.5500002,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Well drained,Low,23790225,163,200,2C,2,0.0300000,70641488,
167896,78536.000000000000000,167896,ElB,"Eldean silt loam, 2 to 6 percent slopes",14.3599997,None,OH049,"Franklin County, Ohio",All areas are prime farmland,4,Moderately well drained,Low,23790230,137,200,2C,2,0.0400000,70641506,
167897,27815.000000000000000,167897,ElC2,"Eldean silt loam, 6 to 12 percent slopes, eroded",16.0799999,None,OH049,"Franklin County, Ohio",Not prime farmland,3,Well drained,High,23790419,89,178,H3,,0.0300000,70641927,
167898,25112.000000000000000,167898,ElD2,"Eldean silt loam, 12 to 18 percent slopes, eroded",16.0799999,None,OH049,"Franklin County, Ohio",Not prime farmland,3,Well drained,High,23790330,89,178,H3,,0.0300000,70641732,
167899,35638.000000000000000,167899,EmA,"Eldean-Urban land complex, 0 to 2 percent slopes",16.0799999,None,OH049,"Franklin County, Ohio",Not prime farmland,3,Well drained,Low,23790423,89,178,H3,,0.0300000,70641930,
167900,256917.000000000000000,167900,EmB,"Eldean-Urban land complex, 2 to 6 percent slopes",16.0799999,None,OH049,"Franklin County, Ohio",Not prime farmland,3,Well drained,Medium,23790335,89,178,H3,,0.0300000,70641735,
167901,101884.000000000000000,167901,Gn,"Genesee silt loam, 0 to 2 percent slopes, occasionally flooded",25.6599998,Occasional,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Moderately well drained,Negligible,23790293,25,86,Bw,,0.1800000,70641625,
167904,49021.000000000000000,167904,HeE2,"Hennepin and Miamian loams, 18 to 25 percent slopes, eroded",17.5200005,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,Very high,23790169,0,15,H1,,0.2100000,70641367,
167905,52070.000000000000000,167905,HeF2,"Hennepin and Miamian loams, 25 to 50 percent slopes, eroded",17.3099995,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,Very high,23790340,0,15,H1,,0.2100000,70641736,
167906,14143.000000000000000,167906,KeA,"Kendallville silt loam, 0 to 2 percent slopes",21.3999996,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Well drained,Low,23790428,36,97,H2,,0.1400000,70641932,
167907,121780.000000000000000,167907,KeB,"Kendallville silt loam, 2 to 6 percent slopes",21.4799995,None,OH049,"Franklin County, Ohio",All areas are prime farmland,3,Well drained,Medium,23790306,30,61,2Bt2,2,0.1200000,70641665,
167908,13680.000000000000000,167908,KeC2,"Kendallville silt loam, 6 to 12 percent slopes, eroded",21.3999996,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,Medium,23790431,36,97,H2,,0.1400000,70641935,
167909,1527634.000000000000000,167909,Ko,"Kokomo silty clay loam, 0 to 2 percent slopes",22.0200005,None,OH049,"Franklin County, Ohio",Prime farmland if drained,3,Moderately well drained,High,23790286,30,71,2Bt,2,0.1500000,70641599,
167910,81171.000000000000000,167910,Ku,Kokomo-Urban land complex,23.3500004,None,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790239,,,,,,,
167911,560044.000000000000000,167911,LeB,"Lewisburg-Crosby complex, 2 to 6 percent slopes",20.5000000,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Moderately well drained,High,23790244,15,41,H2,,0.1400000,70641527,
167912,185116.000000000000000,167912,Mh,"Medway silt loam, occasionally flooded",23.3199997,Occasional,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Moderately well drained,Low,23790248,76,178,H3,,0.1200000,70641534,
167913,177202.000000000000000,167913,MkB,"Miamian silt loam, 2 to 6 percent slopes",18.6299992,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Poorly drained,Negligible,23790472,0,18,Ap,,0.1600000,70641986,3
167914,26549.000000000000000,167914,MlB2,"Miamian silty clay loam, 2 to 6 percent slopes, eroded",19.5200005,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Well drained,Medium,23790345,23,91,H2,,0.1500000,70641743,
167915,170404.000000000000000,167915,MlC2,"Miamian silty clay loam, 6 to 12 percent slopes, eroded",19.5200005,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,High,23790434,23,91,H2,,0.1500000,70641938,
167916,59969.000000000000000,167916,MlD2,"Miamian silty clay loam, 12 to 18 percent slopes, eroded",19.5200005,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,High,23790348,23,91,H2,,0.1500000,70641746,
167917,19622.000000000000000,167917,MmC3,"Miamian clay loam, shallow to dense till substratum, 6 to 12 percent slopes, severely eroded",10.6300001,None,OH049,"Franklin County, Ohio",Not prime farmland,1,Well drained,High,23790204,0,18,Ap,,0.1800000,70641411,
167918,48937.000000000000000,167918,MnC,"Miamian-Urban land complex, 6 to 12 percent slopes",19.9799995,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,High,23790174,23,91,H2,,0.1500000,70641374,
167919,43346.000000000000000,167919,MoB,"Milton silt loam, 2 to 6 percent slopes",10.8100004,None,OH049,"Franklin County, Ohio",All areas are prime farmland,2,Well drained,Medium,23790388,74,99,3R,3,,70641825,
167920,12006.000000000000000,167920,MoC2,"Milton silt loam, 6 to 12 percent slopes, eroded",13.1300001,None,OH049,"Franklin County, Ohio",Not prime farmland,2,Well drained,Medium,23790178,69,79,H3,,0.1400000,70641378,
167921,19730.000000000000000,167921,MpB,"Milton-Urban land complex, 2 to 6 percent slopes",12.1999998,None,OH049,"Franklin County, Ohio",Not prime farmland,2,Well drained,Medium,23790181,64,74,H3,,0.1400000,70641382,
167922,11977.000000000000000,167922,MpC,"Milton-Urban land complex, 6 to 12 percent slopes",12.1999998,,OH049,"Franklin County, Ohio",Not prime farmland,2,Well drained,High,23790437,64,74,H3,,0.1400000,70641940,
167923,27716.000000000000000,167923,MrB,"Mitiwanga silt loam, 2 to 6 percent slopes",13.8400002,None,OH049,"Franklin County, Ohio",Prime farmland if drained,,,,23790349,,,,,,,
167925,36144.000000000000000,167925,OcA,"Ockley silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",21.3299999,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Well drained,Low,23790278,163,200,3C,3,0.0300000,70641574,
167926,100359.000000000000000,167926,OcB,"Ockley silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes",23.1800003,None,OH049,"Franklin County, Ohio",All areas are prime farmland,3,Well drained,Low,23790465,48,79,Bt2,,0.1400000,70641962,
167927,17224.000000000000000,167927,OcC2,"Ockley silt loam, 6 to 12 percent slopes, eroded",23.8999996,None,OH049,"Franklin County, Ohio",Not prime farmland,4,Well drained,Medium,23790252,104,132,H3,,0.0900000,70641537,
167928,365776.000000000000000,167928,Pm,"Pewamo silty clay loam, low carbonate till, 0 to 2 percent slopes",21.3199997,None,OH049,"Franklin County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,High,23790299,23,107,Bt,,0.1500000,70641643,
167929,86352.000000000000000,167929,Pn,"Pewamo low carbonate till-Urban land complex, 0 to 2 percent slopes",20.4699993,None,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790302,,,,,,,
167930,38126.000000000000000,167930,Pt,"Pits, quarry",,,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790352,,,,,,,
167931,30774.000000000000000,167931,RhB,"Ritchey silt loam, 2 to 6 percent slopes",8.9899998,None,OH049,"Franklin County, Ohio",Not prime farmland,1,Well drained,Medium,23790442,43,53,H3,,,70641946,
167932,23871.000000000000000,167932,RhD2,"Ritchey silt loam, 12 to 18 percent slopes, eroded",8.9899998,None,OH049,"Franklin County, Ohio",Not prime farmland,1,Well drained,Very high,23790354,43,53,H3,,,70641752,
167933,139107.000000000000000,167933,Rs,"Ross silt loam, 0 to 2 percent slopes, occasionally flooded",27.2800007,Occasional,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Well drained,Low,23790396,0,20,Ap,,0.2200000,70641856,
167934,92343.000000000000000,167934,Sh,"Shoals silt loam, occasionally flooded",29.1599998,Occasional,OH049,"Franklin County, Ohio",Prime farmland if drained,,,,23790186,,,,,,,2
167935,46566.000000000000000,167935,SlA,"Sleeth silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",22.6200008,None,OH049,"Franklin County, Ohio",Prime farmland if drained,4,Poorly drained,Negligible,23790401,107,124,BCg,,0.1400000,70641873,3
167936,14936.000000000000000,167936,SmA,"Sleeth-Urban land complex, 0 to 2 percent slopes",24.9200001,,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790189,,,,,,,
167937,101652.000000000000000,167937,So,"Sloan silt loam, Columbus Lowland, 0 to 2 percent slopes, frequently flooded",26.7000008,Frequent,OH049,"Franklin County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Somewhat poorly drained,Negligible,23790217,20,33,AB,,0.2200000,70641454,
167938,14755.000000000000000,167938,ThA,"Thackery silt loam, 0 to 2 percent slopes",23.8899994,None,OH049,"Franklin County, Ohio",All areas are prime farmland,4,Moderately well drained,Low,23790445,124,137,H4,,0.0700000,70641947,
167939,23415.000000000000000,167939,ThB,"Thackery silt loam, 2 to 6 percent slopes",23.8899994,None,OH049,"Franklin County, Ohio",All areas are prime farmland,4,Moderately well drained,Low,23790359,124,137,H4,,0.0700000,70641758,
167940,86692.000000000000000,167940,Up,"Udorthents, loamy, rolling",,,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790448,,,,,,,
167941,31084.000000000000000,167941,Ur,"Udorthents, loamy, sloping",,,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790362,,,,,,,
167942,20639.000000000000000,167942,Us,"Udorthents, loamy, steep",,,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790453,,,,,,,
167943,340065.000000000000000,167943,Ut,"Udorthents-Urban land complex, gently rolling",,None,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790255,,,,,,,
167944,102999.000000000000000,167944,Uu,"Urban land-Bennington complex, 0 to 6 percent slopes",18.2199993,,OH049,"Franklin County, Ohio",Not prime farmland,5,Somewhat poorly drained,High,23790480,61,107,Btb,,0.1500000,70642017,
167945,111107.000000000000000,167945,Uv,"Urban land-Celina complex, 2 to 12 percent slopes",19.1200008,,OH049,"Franklin County, Ohio",Not prime farmland,5,Moderately well drained,High,23790259,18,64,H2,,0.1800000,70641540,
167946,59210.000000000000000,167946,Uw,"Urban land-Genesee complex, occasionally flooded",30.4599991,,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,Low,23790264,0,23,H1,,0.2200000,70641542,
167947,59444.000000000000000,167947,Ux,"Urban land-Ockley complex, 0 to 6 percent slopes",23.8999996,,OH049,"Franklin County, Ohio",Not prime farmland,4,Well drained,Low,23790457,104,132,H3,,0.0900000,70641954,
167948,192047.000000000000000,167948,W,Water,,,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790367,,,,,,,
167949,31723.000000000000000,167949,WdA,"Warsaw silt loam, 0 to 2 percent slopes",18.3199997,None,OH049,"Franklin County, Ohio",All areas are prime farmland,,,,23790462,,,,,,,
167950,35160.000000000000000,167950,WdB,"Warsaw silt loam, 2 to 6 percent slopes",18.3199997,None,OH049,"Franklin County, Ohio",All areas are prime farmland,3,Well drained,Low,23790368,86,178,H3,,0.0300000,70641762,
167951,9968.000000000000000,167951,WeA,"Wea silt loam, 0 to 2 percent slopes",23.3299999,None,OH049,"Franklin County, Ohio",All areas are prime farmland,4,Well drained,Low,23790309,140,200,2C,2,0.0300000,70641678,
167952,26743.000000000000000,167952,WeB,"Wea silt loam, 2 to 6 percent slopes",27.2399998,None,OH049,"Franklin County, Ohio",All areas are prime farmland,4,Well drained,Low,23790193,142,178,H3,,0.0300000,70641393,
167953,128653.000000000000000,167953,Wt,"Westland silty clay loam, Southern Ohio Till Plain, 0 to 2 percent slopes",19.0300007,None,OH049,"Franklin County, Ohio",Prime farmland if drained,4,Poorly drained,Negligible,23790201,0,25,Ap,,0.1300000,70641403,3
167954,98041.000000000000000,167954,AcF,"Alexandria silt loam, 25 to 50 percent slopes",18.3400002,None,OH077,"Huron County, Ohio",Not prime farmland,5,Well drained,Very high,23868531,10,66,H2,,0.1400000,70925095,
167955,58621.000000000000000,167955,AdD2,"Alexandria silty clay loam, 12 to 18 percent slopes, eroded",18.5400009,None,OH077,"Huron County, Ohio",Not prime farmland,5,Well drained,High,23868420,13,69,H2,,0.1400000,70924940,
167956,4079834.000000000000000,167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",20.4400005,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,High,23868507,25,74,Bt,,0.1500000,70925014,
167957,836881.000000000000000,167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",20.2199993,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Moderately well drained,High,23868388,20,86,Bt,,0.1500000,70924866,
167958,18555.000000000000000,167958,BkA,"Bixler loamy fine sand, 0 to 2 percent slopes",17.2299995,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,Very low,23868300,0,23,H1,,0.1200000,70924790,
167959,95971.000000000000000,167959,Blg1A1,"Blount silt loam, ground moraine, 0 to 2 percent slopes",17.8600006,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,23868280,0,28,Ap,,0.2200000,70924768,2
167960,22009.000000000000000,167960,Blg1B1,"Blount silt loam, ground moraine, 2 to 4 percent slopes",16.6599998,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,23868385,0,28,Ap,,0.2200000,70924853,2
167961,9330.000000000000000,167961,BrF,"Brecksville silt loam, 40 to 70 percent slopes",11.0600004,None,OH077,"Huron County, Ohio",Not prime farmland,,Well drained,,23868186,,,,,,,
167964,51466.000000000000000,167964,Ce,"Carlisle muck, Central Ohio clayey till plain, drained, 0 to 2 percent slopes",57.5999985,None,OH077,"Huron County, Ohio",Farmland of unique importance,5,Very poorly drained,Negligible,23868621,0,28,Ap,,0.2100000,70925203,2
167965,37554.000000000000000,167965,Cf,"Carlisle muck, Central Ohio clayey till plain, 0 to 2 percent slopes",57.4700012,None,OH077,"Huron County, Ohio",Not prime farmland,5,Very poorly drained,Negligible,23868618,0,28,A,,0.2100000,70925193,2
167966,2704.000000000000000,167966,CgB,"Castalia channery silt loam, 2 to 6 percent slopes",6.0200000,None,OH077,"Huron County, Ohio",Not prime farmland,2,Well drained,Very high,23868425,56,61,H4,,,70924945,
167967,334104.000000000000000,167967,ChB,"Chili loam, loamy substratum, 2 to 6 percent slopes",17.8999996,None,OH077,"Huron County, Ohio",All areas are prime farmland,4,Well drained,Low,23868305,114,152,H4,,0.1000000,70924796,
167968,35785.000000000000000,167968,ChC,"Chili loam, loamy substratum, 6 to 12 percent slopes",17.8999996,None,OH077,"Huron County, Ohio",Not prime farmland,4,Well drained,Medium,23868535,114,152,H4,,0.1000000,70925100,
167969,9453.000000000000000,167969,CkE,"Chili-Udorthents complex, 18 to 30 percent slopes",17.3299999,None,OH077,"Huron County, Ohio",Not prime farmland,4,Well drained,Medium,23868540,0,25,H1,,0.1200000,70925101,
167970,178672.000000000000000,167970,Cm,Colwood silt loam,27.0100002,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,23868545,0,28,H1,,0.2200000,70925104,2
167971,726208.000000000000000,167971,Co,Condit silty clay loam,17.9899998,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Poorly drained,Negligible,23868550,0,15,H1,,0.1700000,70925107,2
167972,19567.000000000000000,167972,EnA,"Elnora loamy fine sand, 1 to 3 percent slopes",11.3400002,None,OH077,"Huron County, Ohio",Not prime farmland,,Well drained,,23868309,,,,,,,
167973,70957.000000000000000,167973,Fr,Fries silty clay loam,12.3199997,None,OH077,"Huron County, Ohio",Prime farmland if drained,,Very poorly drained,,23868429,,,,,,,2
167975,271258.000000000000000,167975,HkA,"Haskins loam, 0 to 3 percent slopes",16.9200001,None,OH077,"Huron County, Ohio",Prime farmland if drained,3,Somewhat poorly drained,Very high,23868624,23,76,Bt,,0.1500000,70925214,
167976,57617.000000000000000,167976,Ho,"Holly silt loam, frequently flooded",25.0499992,Frequent,OH077,"Huron County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Poorly drained,Medium,23868190,102,152,H4,,0.1300000,70924642,2
167977,90396.000000000000000,167977,JtA,"Jimtown loam, 0 to 3 percent slopes",19.3299999,None,OH077,"Huron County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,Low,23868195,109,152,H3,,0.0700000,70924645,
167978,311532.000000000000000,167978,KbA,"Kibbie loam, 0 to 2 percent slopes",28.8600006,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,Low,23868200,0,23,H1,,0.2000000,70924646,
167979,135501.000000000000000,167979,Le,Lenawee silty clay loam,27.6200008,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Very poorly drained,Medium,23868205,0,18,H1,,0.2200000,70924649,2
167980,25742.000000000000000,167980,Lf,Lenawee variant silty clay loam,19.6800003,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Very poorly drained,Medium,23868432,0,20,H1,,0.2000000,70924949,2
167981,57660.000000000000000,167981,Lm,Linwood muck,41.7599983,None,OH077,"Huron County, Ohio",Farmland of unique importance,1,Very poorly drained,Negligible,23868316,0,74,O,,0.4000000,70924802,1
167982,85343.000000000000000,167982,Ln,"Lobdell silt loam, rarely flooded",27.9099998,Rare,OH077,"Huron County, Ohio",All areas are prime farmland,5,Moderately well drained,Low,23868436,99,152,H3,,0.1500000,70924955,
167983,264544.000000000000000,167983,Lo,"Lobdell silt loam, frequently flooded",27.9099998,Frequent,OH077,"Huron County, Ohio",Prime farmland if protected from flooding or not frequently flooded during the growing season,5,Moderately well drained,Low,23868321,99,152,H3,,0.1500000,70924804,
167984,9928.000000000000000,167984,LrB,"Lordstown loam, 2 to 6 percent slopes",8.9300003,None,OH077,"Huron County, Ohio",All areas are prime farmland,,Well drained,,23868556,,,,,,,
167985,9380.000000000000000,167985,Mm,Millsdale silty clay loam,10.2200003,None,OH077,"Huron County, Ohio",Prime farmland if drained,,,,23868561,,,,,,,2
167986,13395.000000000000000,167986,MnB,"Milton silt loam, 2 to 6 percent slopes",11.5500002,None,OH077,"Huron County, Ohio",All areas are prime farmland,2,Well drained,High,23868565,69,74,H3,,,70925118,
167987,63220.000000000000000,167987,Mr,"Miner silty clay loam, 0 to 2 percent slopes",19.3799992,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Very poorly drained,,23868266,33,56,Btg2,,0.1100000,70924712,3
167988,6435.000000000000000,167988,MwB,"Mitiwanga silt loam, 1 to 4 percent slopes",12.3999996,None,OH077,"Huron County, Ohio",Prime farmland if drained,,,,23868568,,,,,,,
167989,169555.000000000000000,167989,Or,"Orrville silt loam, frequently flooded",22.9899998,Frequent,OH077,"Huron County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Somewhat poorly drained,Low,23868441,86,152,H3,,0.1200000,70924958,
167990,95460.000000000000000,167990,OsB,"Oshtemo fine sandy loam, 2 to 6 percent slopes",17.2700005,None,OH077,"Huron County, Ohio",All areas are prime farmland,,Moderately well drained,,23868325,,,,,,,
167991,8156.000000000000000,167991,OtB,"Otisville gravelly sandy loam, 2 to 6 percent slopes",6.4299998,None,OH077,"Huron County, Ohio",Not prime farmland,,Well drained,,23868445,,,,,,,
167992,35424.000000000000000,167992,Pa,Pandora silty clay loam,19.2800007,None,OH077,"Huron County, Ohio",Prime farmland if drained,5,Poorly drained,Negligible,23868330,18,124,H2,,0.1200000,70924811,2
167993,512515.000000000000000,167993,Pm,Pewamo silty clay loam,25.7999992,None,OH077,"Huron County, Ohio",Prime farmland if drained,,Very poorly drained,,23868210,,,,,,,2
167994,10961.000000000000000,167994,Pn,Pinnebog muck,63.0000000,None,OH077,"Huron County, Ohio",Not prime farmland,2,Very poorly drained,Negligible,23868214,81,152,O,,0.4000000,70924655,1
167995,4853.000000000000000,167995,Ps,Pits,,,OH077,"Huron County, Ohio",Not prime farmland,,,,23868218,,,,,,,
167996,31492.000000000000000,167996,PuA,"Prout silt loam, 0 to 2 percent slopes",11.9099998,None,OH077,"Huron County, Ohio",Prime farmland if drained,,Very poorly drained,,23868219,,,,,,,2
167997,45545.000000000000000,167997,SaF,"Saylesville silt loam, 25 to 40 percent slopes",25.3899994,None,OH077,"Huron County, Ohio",Not prime farmland,,Well drained,,23868334,,,,,,,
167998,29888.000000000000000,167998,ScB,"Shinrock silt loam, 2 to 6 percent slopes",20.7299995,None,OH077,"Huron County, Ohio",All areas are prime farmland,5,Moderately well drained,Medium,23868451,23,89,H2,,0.1300000,70924963,
167999,34360.000000000000000,167999,SpB,"Spinks loamy fine sand, 2 to 6 percent slopes",9.8999996,None,OH077,"Huron County, Ohio",Not prime farmland,5,Well drained,Very low,23868338,30,152,H2,,0.0600000,70924816,
